저작물명,앨범명,아티스트명,대리중개사명,제작사명
"77학개론 (Feat. 리쌍, 김진표)",6집 싸이6甲 Part 1,싸이 (Psy),지니뮤직,YG Entertainment
청개구리 (Feat. G-Dragon),싸이6甲 Part 1,싸이 (Psy),지니뮤직,YG Entertainment
내 사랑아,신사의 품격 OST Part 5,이종현 (씨엔블루),Stone Music Entertainment,화앤담픽쳐스
방구석 날라리,방구석 날라리,처진 달팽이,카카오 M,뮤직팜
I Love You,I Love You,2NE1 (투애니 원),지니뮤직,YG Entertainment
Day By Day,Day By Day,티아라 (T-ara),카카오 M,코어컨텐츠미디어
Aqua Man,2 4 : 2 6,빈지노 (Beenzino),제뉴인뮤직,ILLIONAIRE RECORDS
Boogie On & On,2 4 : 2 6,빈지노 (Beenzino),제뉴인뮤직,ILLIONAIRE RECORDS
미안해서 미안해,6집 JP6,김진표 (JP),NHN벅스,레이블 벅스
Loving U (러빙유),Loving U,씨스타 (Sistar),카카오 M,스타쉽엔터테인먼트
안되겠더라,각시탈 OST Part 2,포맨 (4Men),카카오 M,더그루브엔터테인먼트 & 허브엔터테인먼트
Lucky Strike,Overexposed,Maroon 5,Universal Music,A&M / Octone Records
한사람,한사람 (빅 OST),허각,Stone Music Entertainment,"Stone Music Entertainment, 본팩토리"
One More Night,Overexposed (Deluxe),Maroon 5,Universal Music,A&M / Octone Records
정말로 사랑한다면,버스커 버스커 1집 마무리,버스커 버스커 (Busker Busker),Stone Music Entertainment,Stone Music Entertainment
그댈 마주하는건 힘들어 (그마힘),버스커 버스커 1집 마무리,버스커 버스커 (Busker Busker),지니뮤직,Stone Music Entertainment
충분히 예뻐,10년동안의오독I,버벌진트 (Verbal Jint),Universal Music,브랜뉴뮤직
소나기 (주르르루),버스커 버스커 1집 마무리,버스커 버스커 (Busker Busker),지니뮤직,Stone Music Entertainment
네온사인,버스커 버스커 1집 마무리,버스커 버스커 (Busker Busker),지니뮤직,Stone Music Entertainment
Flashback,FLASHBACK,애프터스쿨(After School),카카오 M,플레디스
가슴이 시린 게,신사의 품격 OST Part 3,이현 (에이트),Stone Music Entertainment,화앤담픽쳐스
굿바이데이,각시탈 OST Part 1,울랄라세션,카카오 M,더그루브엔터테인먼트 & 허브엔터테인먼트
Electric Shock,`Electric Shock` The 2nd Mini Album,f(x),지니뮤직,SM Entertainment
illa illa (일라 일라),My First June,주니엘 (Juniel),Stone Music Entertainment,"F&C Music, Stone Music Entertainment"
굿모닝 (Feat. 권정열),굿모닝,버벌진트 (Verbal Jint),Universal Music,브랜뉴뮤직
안좋을때 들으면 더 안좋은 노래,껭스타랩 볼륨1,형돈이와 대준이,카카오 M,디아이 엔터테인먼트
Monster,BigBang Special Edition `Still Alive`,빅뱅,지니뮤직,YG Entertainment
Like this,Wonder Party,원더걸스 (Wonder Girls),지니뮤직,JYP Entertainment
STILL ALIVE,BigBang Special Edition `Still Alive`,빅뱅,지니뮤직,YG Entertainment
"입장정리 (Feat. 최자, Simon D)",Primary And The Messengers Part 4,프라이머리 (Primary),Stone Music Entertainment,아메바컬쳐
To You,aRtisT,틴 탑 (Teen Top),카카오 M,티오피미디어
High High,신사의 품격 OST Part 1,김태우,Stone Music Entertainment,화앤담픽쳐스
너에게 배운다 (My Love),Unplugged,리쌍,카카오 M,정글엔터테인먼트
잘자요 굿나잇,THE B1A4 Ⅰ (IGNITION) (Special Edition),비원에이포 (B1A4),포니캐년코리아,WM엔터테인먼트
Call You Mine (Feat. Geologic),1집 The Gentleman Approach,Jeff Bernat,에스케이커뮤니케이션즈,Go M!
Groovin`,1집 The Gentleman Approach,Jeff Bernat,에스케이커뮤니케이션즈,Go M!
2HOT,BLOOM,지나(G.NA),Universal Music,큐브엔터테인먼트
If You Wonder,1집 The Gentleman Approach,Jeff Bernat,에스케이커뮤니케이션즈,Go M!
Good Boy (Feat. 용준형 of 비스트),GOOD BOY,백지영,카카오 M,더블유에스엔터테인먼트
추격자,Infinitize,인피니트 (Infinite),카카오 M,울림 엔터테인먼트
I 돈 Care (Feat. 서수민PD),용감한 녀석들,용감한 녀석들,Universal Music,위닝인사이트 엔터테인먼트
하루 끝,스무 살의 봄,아이유 (IU),카카오 M,카카오 M
복숭아,스무 살의 봄,아이유 (IU),카카오 M,카카오 M
아름다운 밤,Ulala Sensation Part 1,울랄라세션,Stone Music Entertainment,Stone Music Entertainment
나쁜놈 (Feat. 소야),나쁜놈,마이티 마우스 (Mighty Mouth),지니뮤직,레브 커뮤니케이션
Hush,UNE ANNEE,에이핑크 (Apink),Stone Music Entertainment,플레이엠엔터테인먼트
목소리 (Feat. 개리),Good Boy,백지영,카카오 M,더블유에스엔터테인먼트
She`s Gone,She`s Gone,디셈버 (December),씨에스해피엔터테인먼트,씨에스해피엔터테인먼트
Twinkle,`Twinkle` Mini Album,소녀시대-태티서(Girls` Generation-TTS),지니뮤직,SM Entertainment
너뿐이야 (You`re The One),Spring 새로운 사랑에게 보내는 다섯곡의 노래,박진영,지니뮤직,JYP Entertainment
다른 사람 품에 안겨서 (Someone else) Duet with 가인,Spring 새로운 사랑에게 보내는 다섯곡의 노래,박진영,지니뮤직,JYP Entertainment
"씨스루 (Feat. 개코, Zion.T)",Primary And The Messengers Part 3,프라이머리 (Primary),Stone Music Entertainment,아메바컬쳐
떠나간다,떠나간다,노을,카카오 M,ITM
Payphone (Feat. Wiz Khalifa),Payphone (Single),Maroon 5,Universal Music,A&M / Octone Records
나혼자 (Alone),Alone,씨스타 (Sistar),카카오 M,스타쉽엔터테인먼트
두 마리,두 마리,배치기,NHN벅스,YMC엔터테인먼트
Volume Up,Volume Up,포미닛 (4minute),Universal Music,큐브엔터테인먼트
사랑은 다 그런거래요,Together,"양파, 다비치, HANNA",카카오 M,코어컨텐츠미디어
여수 밤바다,버스커 버스커 1집,버스커 버스커 (Busker Busker),지니뮤직,Stone Music Entertainment
꽃송이가,버스커 버스커 1집,버스커 버스커 (Busker Busker),지니뮤직,Stone Music Entertainment
첫사랑,버스커 버스커 1집,버스커 버스커 (Busker Busker),지니뮤직,Stone Music Entertainment
외로움 증폭장치 (브래드 드럼 한판 쉬기),버스커 버스커 1집,버스커 버스커 (Busker Busker),지니뮤직,Stone Music Entertainment
전활 거네,버스커 버스커 1집,버스커 버스커 (Busker Busker),지니뮤직,Stone Music Entertainment
향수,버스커 버스커 1집,버스커 버스커 (Busker Busker),지니뮤직,Stone Music Entertainment
골목길 어귀에서,버스커 버스커 1집,버스커 버스커 (Busker Busker),지니뮤직,Stone Music Entertainment
미치게 보고싶은,더킹 투하츠 OST Part 1,태연 (TAEYEON),카카오 M,김종학 프로덕션 & DRM미디어
Hey You,EAR FUN,씨엔블루 (CNBLUE),Stone Music Entertainment,FNC엔터테인먼트
기다려 그리고 준비해,용감한 녀석들,용감한 녀석들,Universal Music,위닝인사이트 엔터테인먼트
Venus,10집 The Return,신화,Stone Music Entertainment,신화컴퍼니
이상형,버스커 버스커 1집,버스커 버스커 (Busker Busker),지니뮤직,Stone Music Entertainment
한참 지나서,옥탑방 왕세자 OST Part 1,백지영,SBS 콘텐츠허브,SBS 콘텐츠허브
Sherlock.셜록 (Clue + Note),`Sherlock` SHINee The 4th Mini Album,샤이니 (SHINee),지니뮤직,SM Entertainment
곰인형 (Feat. 해금),LoveFiction,린 (LYn),카카오 M,준뮤직컴퍼니
아직 사랑한다,EAR FUN,씨엔블루 (CNBLUE),Stone Music Entertainment,FNC엔터테인먼트
Love Day,`A Cube` For Season # Green,"양요섭, 정은지",Stone Music Entertainment,플레이엠엔터테인먼트
그대 한 사람,해를 품은 달 OST Part 6,김수현,한국음반산업협회,팬엔터테인먼트
너도 나처럼,F.Scott Fitzgerald`s Way Of Love,2AM,지니뮤직,빅히트엔터테인먼트 & JYP엔터테인먼트
자니 (Feat. DYNAMICDUO),자니,프라이머리 (Primary),Stone Music Entertainment,아메바컬쳐
Call Me Maybe,Call Me Maybe,Carly Rae Jepsen,Universal Music,Interscope Records
Fantastic Baby,빅뱅 미니앨범 5집 Alive,빅뱅,지니뮤직,YG Entertainment
Blue,빅뱅 미니앨범 5집 Alive,빅뱅,지니뮤직,YG Entertainment
BAD BOY,빅뱅 미니앨범 5집 ALIVE,빅뱅,지니뮤직,YG Entertainment
사랑먼지,빅뱅 미니앨범 5집 ALIVE,빅뱅,지니뮤직,YG Entertainment
재미없어,빅뱅 미니앨범 5집 ALIVE,빅뱅,지니뮤직,YG Entertainment
Falling,Knock,존 박,카카오 M,뮤직팜
Touch,Touch,miss A,지니뮤직,AQ Entertainment & JYP Entertainment
잊었니,신들의 만찬 OST Part 1,이승철,지니뮤직,대풍콘텐츠
니가 필요해 (I Need You),니가 필요해 (I Need You),케이윌 (K.Will),카카오 M,스타쉽엔터테인먼트
Heaven,Heaven,에일리 (Ailee),카카오 M,YMC엔터테인먼트
Marry You,Love Songs For Life,Bruno Mars,Warner Music,Warner Music
생각날거야,LOVE CALL (With 다비치),다비치,카카오 M,제이오션스타
겁이나서 (With 백지영),겁이나서,나윤권,SBS 콘텐츠허브,"씨에이치웍스, 피케이프로덕션"
난리나,Welcome To The Block,블락비 (Block B),카카오 M,브랜뉴스타덤
내가 노래를 못해도,SE7EN NEW MINI ALBUM,세븐 (SE7EN),지니뮤직,YG Entertainment
지독하게,Grown-Up,FTISLAND (FT 아일랜드),Stone Music Entertainment,FNC엔터테인먼트
내가 싫다,내가 싫다 (Digital Single),케이윌 (K.Will),카카오 M,스타쉽엔터테인먼트
Hit U,Hit U (EP),Dal★Shabet (달샤벳),Stone Music Entertainment,해피페이스 엔터테인먼트
이럴 줄 알았어,이럴 줄 알았어,비스트 (Beast),Universal Music,큐브엔터테인먼트
널 사랑하겠어,사랑을 보다2 OST,효린,카카오 M,스타쉽엔터테인먼트
베짱이 찬가,The Grasshoppers,써니힐 (SunnyHill),카카오 M,카카오 M
전쟁이야,MBLAQ 4th Mini Album `100%Ver.`,엠블랙 (MBLAQ),Stone Music Entertainment,J.Tune Camp
Livin` My Love,Livin` My Love (Single),"LMFAO, Steve Aoki",ToCorea M&E,ToCorea M&E
키 큰 노총각 이야기,무한도전 나름 가수다,정준하,지니뮤직,아이엠비씨
미치겠어,It`s,틴 탑 (Teen Top),카카오 M,티오피미디어
거기서거기 (Without You),Dynamic Duo 6th Diglog 2/2,다이나믹 듀오 (Dynamic Duo),Stone Music Entertainment,아메바컬쳐
Lovey-Dovey,Funky Town,티아라 (T-ara),카카오 M,코어컨텐츠미디어
속상해서 (술 한잔 해요 Part 2),속상해서,지아 (Zia),카카오 M,카카오 M
우리 사랑했잖아,우리 사랑했잖아,"다비치, 티아라",크리에이티브프로덕션,카카오 M
촌스럽게 굴지마 (Feat. 용준형),Soul-Ri : 영혼이 있는 마을,알리 (Ali),카카오 M,예당컴퍼니
그 노래를 틀때마다,그 노래를 틀때마다,"허각, LE(EXID)",카카오 M,에이비엔터테인먼트
살기 위해서,빠담빠담 OST Part 1,노을,카카오 M,더그루브엔터테인먼트
Trouble Maker,Trouble Maker,트러블메이커 (Trouble Maker),Universal Music,큐브엔터테인먼트
너랑 나,Last Fantasy,아이유 (IU),카카오 M,카카오 M
비밀,Last Fantasy,아이유 (IU),카카오 M,카카오 M
삼촌 (Feat. 이적),Last Fantasy,아이유 (IU),카카오 M,카카오 M
불타는 금요일 (Friday Night),Dynamic Duo 6th Digilog 1/2,다이나믹 듀오 (Dynamic Duo),Stone Music Entertainment,아메바컬쳐
My My,Snow Pink,에이핑크 (Apink),Stone Music Entertainment,플레이엠엔터테인먼트
서울사람들,서울사람들,버스커 버스커 (Busker Busker),Stone Music Entertainment,Stone Music Entertainment
Ma Boy 2 (Feat. 효린),Rebirth,일렉트로보이즈 (Electroboyz),NHN벅스,브레이브 엔터테인먼트
Replay,KimdongrYULE,김동률,카카오 M,뮤직팜
Cry Cry,Black Eyes,티아라 (T-ara),카카오 M,코어컨텐츠미디어
사랑에 빠지고 싶다,사랑에 빠지고 싶다,김조한,카카오 M,소울패밀리프로덕션
Be My Baby,Wonder World,원더걸스 (Wonder girls),카카오 M,JYP Entertainment
죽고 싶단 말 밖에,죽고 싶단 말 밖에,허각,Stone Music Entertainment,플레이엠엔터테인먼트
Swing Baby,슈퍼스타K3 TOP 11 Part 6,울랄라세션,Stone Music Entertainment,Stone Music Entertainment
G.N.O.,Wonder World,원더걸스 (Wonder girls),카카오 M,JYP Entertainment
그댄 달라요,슈퍼스타K3 TOP 11 Part 6,버스커 버스커 (Busker Busker),Stone Music Entertainment,Stone Music Entertainment
클렌징크림,클렌징크림,브라운아이드걸스,카카오 M,내가 네트워크
그 남자 그 여자,그 남자 그 여자,"포맨 (4Men), 미 (美)",카카오 M,해피페이스 엔터테인먼트
Tomorrow (Feat. 태양),"열꽃, Part 2",타블로,지니뮤직,YG Entertainment
막걸리나,슈퍼스타K3 TOP 11 Part 5,버스커 버스커 (Busker Busker),Stone Music Entertainment,Stone Music Entertainment
Get It In (Feat. Tiger JK & 정인) (Korean Ver.),Get It In (The Creators Project) (Digital Single),윤미래 (T),Stone Music Entertainment,정글엔터테인먼트
그리워 그리워,그리움,노을,카카오 M,ITM
친구잖아,Tonight,이승기,카카오 M,후크엔터테인먼트
나쁘다 (Feat. 진실),"열꽃, Part 1",타블로,지니뮤직,YG Entertainment
The Boys,`The Boys` The 3rd Album,소녀시대,SM Entertainment,SM Entertainment
Mr.Taxi (Korean Ver.),`The Boys` The 3rd Album,소녀시대,SM Entertainment,SM Entertainment
사랑은 Move,Moving In Secret,시크릿 (Secret),카카오 M,TS엔터테인먼트
여기가 아파,천일의 약속 OST Part 1,백지영,지니뮤직,예인문화
미인,슈퍼스타K3 TOP 11 Part 3,울랄라세션,Stone Music Entertainment,Stone Music Entertainment
Brown City,슈퍼스타K3 TOP 11 Part 3,투개월,Stone Music Entertainment,Stone Music Entertainment
연애시대 (Feat. Ra.D / Nar. 한효주),연애시대,이승기,카카오 M,후크엔터테인먼트
Airbag (Feat. 나얼),Airbag,타블로 (에픽하이),지니뮤직,YG Entertainment
샹하이 로맨스 (上海之戀),샹하이 로맨스 (上海之戀),오렌지캬라멜 (Orange Caramel),카카오 M,플레디스
"그대와 나, 설레임",1집 Unplugged,어쿠스틱 콜라보,Sony Music,모그인터렉티브
Open Arms (Journey) (Feat. 크리스티나),슈퍼스타K 3 Top11 Part 2,울랄라세션,Stone Music Entertainment,Stone Music Entertainment
Poker Face (Lady GaGa),슈퍼스타K3 TOP 11 Part 2,투개월,Stone Music Entertainment,Stone Music Entertainment
사랑과 우정 사이 (피노키오) (with 김연우),`나는 가수다` 경연 10-1. 듀엣곡 부르기,김경호,NHN벅스,아이엠비씨
동경소녀,슈퍼스타K3 TOP 11 Part 1,버스커 버스커 (Busker Busker),Stone Music Entertainment,Stone Music Entertainment
여우야,슈퍼스타K3 TOP 11 Part 1,투개월,Stone Music Entertainment,Stone Music Entertainment
달의 몰락,슈퍼스타K3 TOP 11 Part 1,울랄라세션,Stone Music Entertainment,Stone Music Entertainment
내가 이렇지 (Feat. 하동균),2집 Avancer,지아 (Zia),카카오 M,카카오 M
Sex Apeal (Max Farenthide Radio Edit) (Feat. Mike W.),Sex Apeal,Bueno Clinic,NHN벅스,스카이뮤직
파라다이스 (Paradise),정규 1집 스페셜 리패키지 `Paradise`,인피니트 (Infinite),Stone Music Entertainment,울림 엔터테인먼트
Sixth Sense,Sixth Sense,브라운 아이드 걸스,카카오 M,내가 네트워크
Hot Shot,Sixth Sense,브라운 아이드 걸스,카카오 M,내가 네트워크
난 좋아,처음,성시경,카카오 M,젤리피쉬 엔터테인먼트
그대이길 바래요 (With 케이윌),그대이길 바래요,지아 (Zia),카카오 M,카카오 M
STEP,3집 STEP,카라 (KARA),Stone Music Entertainment,DSP미디어
I Was Born To Love You,Made In Heaven (2011 Remaster),Queen,Universal Music,Queen Productions Ltd.
좋아보여 (Feat. 검정치마),4집 Go Easy,버벌진트 (Verbal Jint),Universal Music,브랜뉴뮤직
안녕이라고 말하지마,Love Delight,다비치,카카오 M,코어컨텐츠미디어
사랑 사랑아,Love Delight,다비치,카카오 M,코어컨텐츠미디어
나란 놈은 답은 너다 (Feat. 하림),7집 AsuRa BalBalTa,리쌍,카카오 M,정글엔터테인먼트
회상 (Feat. 백지영),7집 AsuRa BalBalTa,리쌍,카카오 M,정글엔터테인먼트
Top Girl,Top Girl (EP),지나(G.NA),Universal Music,큐브엔터테인먼트
"TV를 껐네...  (Feat. 윤미래, 권정열)",7집 AsuRa BalBalTa,리쌍,카카오 M,정글엔터테인먼트
안아줘요,안아줘요,10cm,NHN벅스,민트페이퍼
"가슴으로 운다 (Feat. 아이린, 윤미)",Love Harmony,"디셈버, 제이세라",씨에스해피엔터테인먼트,씨에스해피엔터테인먼트
블링블링 (Bling Bling),Bling Bling,Dal★Shabet (달샤벳),카카오 M,해피페이스 엔터테인먼트
So Cool (쏘쿨),1집 So Cool,씨스타 (Sistar),카카오 M,스타쉽엔터테인먼트
You Are So Beautiful,여인의 향기 OST Part 2,김준수,카카오 M,에이스토리
Mr. Simple,`Mr. Simple` The 5th Album,슈퍼주니어 (Super Junior),지니뮤직,SM Entertainment
Ugly,2NE1 2nd Mini Album,2NE1 (투애니 원),지니뮤직,YG Entertainment
Grand Final (Feat. 정인 & MC 날유),Grand Final,리쌍,카카오 M,정글엔터테인먼트
나 가거든 (If I Leave) (조수미),`나는 가수다` 경연 6-2. 청중 평가단 추천곡,박정현,NHN벅스,아이엠비씨
술이야 (바이브),`나는 가수다` 경연 6-2. 청중 평가단 추천곡,장혜진,NHN벅스,아이엠비씨
Hate You,2NE1 2nd Mini Album,2NE1 (투애니 원),지니뮤직,YG Entertainment
내꺼하자,Over The Top,인피니트 (Infinite),Stone Music Entertainment,울림 엔터테인먼트
밤 하늘에,The 4Th Single Album - Red,애프터스쿨 RED,카카오 M,플레디스
남자니까 웃는거야,Homme by `Hitman` Bang - 남자니까 웃는거야,"창민, 이현 (HOMME)",카카오 M,빅히트 엔터테인먼트
Good-bye Baby,A Class,miss A,카카오 M,JYP Entertainment
오늘도 사랑해,공주의 남자 OST Part 1,백지영,카카오 M,어치브그룹디엔
모나리자 (Mona Lisa),모나리자,엠블랙 (MBLAQ),Stone Music Entertainment,J.Tune Camp
한번만 안아줘,Everyday,걸스데이 (Girl`s Day),카카오 M,드림티 엔터테인먼트
Bubble Pop!,Bubble Pop!,현아 (HyunA),Universal Music,큐브엔터테인먼트
바람났어 (Feat. 박봄),무한도전 서해안 고속도로 가요제,GG,지니뮤직,MBC
압구정 날라리,무한도전 서해안 고속도로 가요제,처진 달팽이,지니뮤직,MBC
나만 부를 수 있는 노래,무한도전 서해안 고속도로 가요제,바닷길,지니뮤직,MBC
흔들어 주세요,무한도전 서해안 고속도로 가요제,철싸,지니뮤직,MBC
순정마초,무한도전 서해안 고속도로 가요제,파리돼지앵,지니뮤직,MBC
말하는 대로,무한도전 서해안 고속도로 가요제,처진 달팽이,지니뮤직,MBC
정주나요,무한도전 서해안 고속도로 가요제,스윗 콧소로우,지니뮤직,MBC
죽을래 사귈래,무한도전 서해안 고속도로 가요제,센치한 하하,지니뮤직,MBC
찹쌀떡,무한도전 서해안 고속도로 가요제,센치한 하하,지니뮤직,MBC
다이어리,다이어리,나비 (Navi),카카오 M,ITM
"A Bitter Day (Feat. 용준형 of 비스트, G.NA)",A Bitter Day,현아 (HyunA),Universal Music,큐브엔터테인먼트
Roly-Poly,존트라볼타 워너비,티아라 (T-ara),카카오 M,코어컨텐츠미디어
넌 내게 반했어,넌 내게 반했어 OST Part 1,정용화(Jung Yong Hwa),Stone Music Entertainment,"F&C Music, Stone Music Entertainment"
랄랄라 (Feat. 소야),랄랄라,마이티 마우스 (Mighty Mouth),카카오 M,원오원엔터테인먼트
Love On Top,4,Beyonce,Sony Music,Sony Music
Moves Like Jagger (Feat. Christina Aguilera) (Studio Recording From The Voice Performance),Moves Like Jagger (Single),Maroon 5,Universal Music,2011 A&M/Octone Records
내가 제일 잘 나가,내가 제일 잘 나가,2NE1 (투애니 원),지니뮤직,YG Entertainment
Sweet Dream,Sweet Dream,레인보우 (Rainbow),Stone Music Entertainment,DSP미디어
그 입술을 막아본다,8eight,에이트 (8eight),Stone Music Entertainment,쏘스뮤직
얼음꽃 (Feat. 김세황),얼음꽃,"아이유 (IU), 김연아",카카오 M,카카오 M
Hands Up,2집 Hands Up,2PM,카카오 M,JYP Entertainment
바보 (박효신),`나는 가수다` 경연 5-1. 내가 부르고 싶은 노래,박정현,카카오 M,아이엠비씨
Hot Summer,`Hot Summer` f(x) 1st Album Repackage,f(x),지니뮤직,SM Entertainment
조율,`나는 가수다` 경연 5-2. 청중 평가단 추천곡,JK 김동욱,카카오 M,아이엠비씨
그렇고 그런 사이,장기하와 얼굴들,장기하와 얼굴들,미러볼뮤직,붕가붕가레코드
살다가 한번쯤,The Artist,포맨 (4Men),Sony Music,YWHO & 해피페이스 Ent.
Midnight Circus,Midnight Circus,써니힐 (SunnyHill),카카오 M,카카오 M
별빛달빛,별빛달빛,시크릿 (Secret),카카오 M,TS엔터테인먼트
나를 잊지 말아요,최고의 사랑 OST Part 5,허각,카카오 M,더그루브엔터테인먼트
천일동안 (이승환),`나는 가수다` 경연 4-1. (내가 좋아하는 뮤지션의 곡 부르기),옥주현,카카오 M,아이엠비씨
내 손을 잡아,최고의 사랑 OST Part 4,아이유 (IU),카카오 M,더그루브엔터테인먼트
Hello Hello,Return,FTISLAND (FT 아일랜드),지니뮤직,FNC엔터테인먼트
나와 같다면 (김장훈),`나는 가수다` 경연 3-2 (네티즌 추천곡),김연우,카카오 M,아이엠비씨
늪 (조관우),`나는 가수다` 경연 3-2 (네티즌 추천곡),김범수,카카오 M,아이엠비씨
여러분 (윤복희),`나는 가수다` 경연 3-2 (네티즌 추천곡),임재범,카카오 M,아이엠비씨
사랑,시티헌터 OST Part 1,임재범,Sony Music,글로리엠케이엔터테인먼트
보통,8집 Pitta,백지영,카카오 M,WS엔터테인먼트
두근두근,최고의 사랑 OST Part 3,써니힐 (SunnyHill),카카오 M,더그루브엔터테인먼트
Fiction,1집 Fiction And Fact,비스트 (Beast),Universal Music,큐브엔터테인먼트
그날에 우리,-1,어반 자카파 (Urban Zakapa),NHN벅스,플럭서스
비가 오는 날엔,비가 오는 날엔,비스트 (Beast),Universal Music,큐브엔터테인먼트
Lonely,Lonely,2NE1 (투애니 원),지니뮤직,YG Entertainment
이러쿵 저러쿵,Club Remix Time  To Play,5dolls,카카오 M,코어컨텐츠미디어
내 사람이라서,최고의 사랑 OST Part 2,지나(G.NA),카카오 M,더그루브엔터테인먼트
Golden Lady (Feat. 현아),Golden Lady,임정희,카카오 M,빅히트엔터테인먼트 & JYP엔터테인먼트
이젠 그랬으면 좋겠네 (조용필),`나는 가수다` 경연 3-1 (내가 부르고싶은 남의노래),박정현,카카오 M,아이엠비씨
미련 (김건모),`나는 가수다` 경연 3-1 (내가 부르고싶은 남의노래),김연우,카카오 M,아이엠비씨
미인,Beautiful Woman,디셈버 (December),씨에스해피엔터테인먼트,씨에스해피엔터테인먼트
Ma Boy (마보이),Ma Boy,씨스타19,카카오 M,스타쉽엔터테인먼트
Love Alone,1집 Love Alone,miss A,카카오 M,JYP Entertainment
Shampoo,1집 Virgin,애프터스쿨 (After School),카카오 M,플레디스
Don`t Cry,Don`t Cry (Digital Single),박봄,지니뮤직,YG Entertainment
피노키오 (Danger),`피노키오` f(x) The 1st Album,f(x),지니뮤직,SM Entertainment
몰라요,Seven Springs Of Apink,에이핑크 (Apink),플레이엠엔터테인먼트,Stone Music Entertainment
배가 불렀지 (Feat. GaeKo Of DYNAMIC DUO),Hommage to Quincy Jones (Digital Single),슈프림팀 (Supreme Team),Stone Music Entertainment,아메바컬쳐
들리나요,내 마음이 들리니 OST Part 1,지아 (Zia),카카오 M,더그루브엔터테인먼트
별 짓 다해봤는데,별 짓 다해봤는데,알리 (Ali),다이렉트미디어,"예당 컴퍼니, 트로피엔터테인먼트"
다며 (Feat. 마이티마우스),다며 (Digital Single),이현 (에이트),Stone Music Entertainment,빅히트 엔터테인먼트
LOVE SONG,빅뱅 스페셜에디션,빅뱅,지니뮤직,YG Entertainment
STUPID LIAR,빅뱅 스페셜에디션,빅뱅,지니뮤직,YG Entertainment
To Me (내게로..),So 女 (EP),레인보우 (Rainbow),Stone Music Entertainment,DSP미디어
너 밖엔 없더라,FLY HIGH (Digtial Single),김그림,Stone Music Entertainment,넥스타엔터테인먼트
거울아 거울아,1집 4MINUTES LEFT,포미닛 (4minute),Universal Music,큐브엔터테인먼트
방콕시티 (Bangkok City),방콕시티 (Digital Single),오렌지 캬라멜 (Orange Caramel),지니뮤직,플레디스
La Vida Loca,Classic Over (EP),클로버 (Clover),카카오 M,지와이엠엔터테인먼트
Heart To Heart,Heart To Heart,포미닛 (4minute),Universal Music,큐브엔터테인먼트
메아리,T-School,김태우,카카오 M,소울샵엔터테인먼트
아파 아이야,Elegy Nouveau - 스페셜,양파,카카오 M,크리에이티브프로덕션
이태원 프리덤 (With JYP),이태원 프리덤 (Digital Single),유브이 (UV),Stone Music Entertainment,코엔스타즈
제발,`나는 가수다` 경연2. `서로의 노래 바꿔 부르기`,김범수,카카오 M,아이엠비씨
약속,`나는 가수다` 경연2. `서로의 노래 바꿔 부르기`,백지영,카카오 M,아이엠비씨
You Are My Lady,`나는 가수다` 경연2. `서로의 노래 바꿔 부르기`,김건모,아이엠비씨,아이엠비씨
Dash (With YB),`나는 가수다` 경연2. `서로의 노래 바꿔 부르기`,윤도현,아이엠비씨,아이엠비씨
첫인상,`나는 가수다` 경연2. `서로의 노래 바꿔 부르기`,박정현,카카오 M,아이엠비씨
아무일도 없었다,49일 OST Part 3,정엽,다날,스타엔트리엔터테인먼트
직감,FIRST STEP,씨엔블루 (CNBLUE),Stone Music Entertainment,FNC엔터테인먼트
나 항상 그대를 (With YB),`나는 가수다` 경연 1. (`80년대 명곡 부르기),윤도현,카카오 M,아이엠비씨
반짝반짝,Girl`s Day Party #3,걸스데이 (Girl`s Day),카카오 M,드림티 엔터테인먼트
가슴 시린 이야기 (Feat. 용준형),가슴 시린 이야기,휘성,Stone Music Entertainment,YMC엔터테인먼트
가슴이 뛴다,가슴이 뛴다,케이윌 (K.Will),카카오 M,스타쉽엔터테인먼트
가질 수 없는 너,"현빈, 가질 수 없는 너",현빈,SBS 콘텐츠허브,예술의 봄
미친거니 (Feat. 방용국),미친거니 (Digital Single),송지은,카카오 M,TS엔터테인먼트
Tonight,빅뱅 미니앨범 4집,빅뱅,지니뮤직,YG Entertainment
Cafe,빅뱅 미니앨범 4집,빅뱅,지니뮤직,YG Entertainment
What Is Right,빅뱅 미니앨범 4집,빅뱅,지니뮤직,YG Entertainment
나만 몰랐던 이야기,Real+,아이유 (IU),카카오 M,카카오 M
파파라치 (Feat. 에릭),Watch,간미연,지니뮤직,쏘스뮤직
Just The Way You Are,Doo-Wops & Hooligans (International Ver.),Bruno Mars,Warner Music,Warner Music
내꺼중에 최고,내꺼중에 최고 (EP),이현 (에이트),Stone Music Entertainment,빅히트 엔터테인먼트
사랑은 은하수 다방에서,1집 1.0,10cm,미러볼뮤직,10cm
"Party Rock Anthem (Feat. Lauren Bennett, Goon Rock)",Party Rock Anthem (Single),LMFAO,Universal Music,Universal Music
Someone Like You,21,Adele,강앤뮤직,XL Recordings
Rolling In The Deep,21,Adele,강앤뮤직,XL Recordings
Black & White,Black & White,지나(G.NA),Universal Music,큐브엔터테인먼트
톡톡 (Tok Tok) (Feat. Soya),Mighty Fresh,마이티 마우스 (Mighty Mouth),카카오 M,원오원엔터테인먼트
Bohemian Rhapsody (2011 Remaster),Greatest Hits (2011 Remaster),Queen,Universal Music,Universal Music
