저작물명,앨범명,아티스트명,대리중개사명,제작사명
Warm On A Cold Night,Warm On A Cold Night (Deluxe),HONNE,Warner Music,Atlantic Records UK
아름다워,돈 벌 시간 2,창모 (CHANGMO),루미넌트엔터테인먼트,Deoksokids
마에스트로 (Maestro),돈 벌 시간 2,창모 (CHANGMO),루미넌트엔터테인먼트,Deoksokids
"And July (Feat. DEAN, DJ Friz)",And July,헤이즈 (Heize),지니뮤직,Stone Music Entertainment
The Ocean (Feat. Shy Martin) (Radio Edit),The Ocean (Radio Edit),Mike Perry,Sony Music,DF Records
네 생각,네 생각,존 박,카카오 M,뮤직팜
너 그리고 나 (NAVILLERA),The 1st Album `LOL`,여자친구 (GFRIEND),카카오 M,쏘스뮤직
Day Day (Feat. 박재범) (Prod. by GRAY),쇼미더머니 5 Episode 4,비와이(BewhY),Stone Music Entertainment,Stone Music Entertainment
Why So Lonely,Why So Lonely,원더걸스 (Wonder girls),Dreamus,JYP Entertainment
아주 NICE,Love&Letter repackage album,세븐틴,카카오 M,플레디스
Forever (Prod. by GRAY),쇼미더머니 5 Episode 3,비와이(BewhY),Stone Music Entertainment,Stone Music Entertainment
"호랑나비 (Feat. Gill, 리듬파워)",쇼미더머니 5 Episode 3,보이비 (Boi B),Stone Music Entertainment,Stone Music Entertainment
Shut Up (Feat. 유희열),언니들의 슬램덩크,언니쓰,카카오 M,KBS미디어
Why,Why- The 2nd Mini Album,태연 (TAEYEON),Dreamus,SM Entertainment
맘 편히 (Comfortable),쇼미더머니 5 Episode 2,"사이먼 도미닉 (Simon Dominic), GRAY, 원 (ONE)",Stone Music Entertainment,Stone Music Entertainment
I Like That,沒我愛(몰아애),씨스타 (Sistar),카카오 M,스타쉽엔터테인먼트
Bye bye my blue,Bye bye my blue,백예린,Dreamus,JYP Entertainment
니가 알던 내가 아냐 (Prod. by GRAY),쇼미더머니 5 Episode 1,"사이먼 도미닉 (Simon Dominic), 원(ONE), 지투(G2), BewhY",Stone Music Entertainment,Stone Music Entertainment
Monster,EX’ACT - The 3rd Album,EXO,Dreamus,SM Entertainment
Lucky One,EX’ACT - The 3rd Album,EXO,Dreamus,SM Entertainment
Treat You Better,Illuminate (Deluxe Edition),Shawn Mendes,Universal Music,"Island Records, a division of UMG Recordings, Inc."
쏘쏘,쏘쏘,백아연,지니뮤직,JYP Entertainment
오늘,When I Begin,O.WHEN(오왠),Stone Music Entertainment,DH PLAY 엔터테인먼트
Side To Side (Feat. Nicki Minaj),Dangerous Woman,Ariana Grande,Universal Music,"Republic Records, a division of UMG Recordings,Inc"
사랑이 뭔데,또 오해영 OST Part 3,"서현진, 유승우",지니뮤직,Stone Music Entertainment
Good Luck,Good Luck,AOA,카카오 M,FNC엔터테인먼트
CAN`T STOP THE FEELING!,CAN`T STOP THE FEELING!,Justin Timberlake,Sony Music,Rca Records Label
꿈처럼,또 오해영 OST Part 2,벤 (Ben),지니뮤직,Stone Music Entertainment
우아해 (woo ah),Interlude,크러쉬 (CRUSH),카카오 M,아메바컬쳐
This Is What You Came For (Feat. Rihanna),This Is What You Came For,Calvin Harris,Sony Music,Columbia
RE-BYE,사춘기 상 (思春記 上),악동뮤지션 (AKMU),YG PLUS,YG Entertainment
불타오르네 (FIRE),화양연화 Young Forever,방탄소년단,Dreamus,빅히트 엔터테인먼트
Save ME,화양연화 Young Forever,방탄소년단,Dreamus,빅히트 엔터테인먼트
How To Love (Feat. Sofia Reyes),"Blood, Sweat & 3 Years",Cash Cash,Warner Music,Big Beat Records
내 입술 따뜻한 커피처럼 (Feat. 이성경),내 입술 따뜻한 커피처럼,에디킴,Stone Music Entertainment,"미스틱89, 미스틱엔터테인먼트"
CHEER UP,PAGE TWO,TWICE,Dreamus,JYP Entertainment
하늘바라기 (feat. 하림),Dream,정은지,카카오 M,플레이엠엔터테인먼트
돌아오지마 (Feat. 용준형 of 비스트),돌아오지마,헤이즈 (Heize),지니뮤직,Stone Music Entertainment
How Can I Love You,태양의 후예 OST Part 10,XIA(준수),뮤직앤뉴,"오우엔터테인먼트, 뮤직앤뉴"
Toy,Blooming Period,블락비 (Block B),Stone Music Entertainment,세븐시즌스 & Stone Music Entertainment
"그대, 바람이 되어",태양의 후예 OST Part.9,엠씨더맥스 (M.C The Max),뮤직앤뉴,"오우엔터테인먼트, 뮤직앤뉴"
7 Years,Lukas Graham,Lukas Graham,Warner Music,Warner Music
사랑하자,태양의 후예 OST Part.8,SG 워너비,뮤직앤뉴,"오우엔터테인먼트, 뮤직앤뉴"
꿈속에 너 (Feat. 전상근),두 번째 이야기,에이치코드 (H:CODE),퍼플파인 엔터테인먼트,H PERFORMANCE
"i hate u, i love u (Feat. olivia o`brien) (album ver.)",us,gnash,Warner Music,:):
사랑에 빠졌죠 (당신만이),장범준 2집,장범준,Stone Music Entertainment,버스커버스커
D (half moon) (Feat. 개코),130 mood  TRBL,DEAN,Universal Music,Joombas Co Ltd & Universal Music
21,130 mood  TRBL,DEAN,Universal Music,Joombas Co Ltd & Universal Music
